	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A	242.66663209570794	4136.727112634562	3252.5474346579467	4340.007020997814	4013.272829959924	4176.063690175657	4255.633240622618	2355.4306371246867	1702.2663123955203	1237.916249563777	2133.652690882507	4428.507660072333	919.5919379393422	4858.925953774864	3983.6460802638776	484.40854548056416	2891.438820859869	3987.349401537973	3865.628557271913	3827.9890594409603	3064.897168566938	3745.434307164102	3700.489774921589	614.6925492229742
B	2465.217953772938	4654.0909041355935	3910.391972735158	4317.85972313167	3129.8683034108954	4411.567493636318	2420.4968589750465	2274.5491323172523	523.2999582745026	4976.353136765207	4325.769855455313	4654.650353265873	4519.8241846264455	2885.878344317422	620.7154086001173	3161.9899313280066	2020.5813815965628	2091.665731388284	2671.769586214814	2450.8714496609828	2328.203716765206	2050.1596869585087	1478.9248444544626	4485.0761377477675
C	1743.793938500236	1893.66165856216	4376.41411775779	2389.7639830176986	3952.2859841306213	2642.26196558042	2714.086367418977	1019.2379018586072	1629.9708859099176	2677.165269915418	2389.8461284407067	4670.99727551007	1703.8962357494195	4765.024220646209	1509.4153905833818	756.27840673551	100.0609557391851	4411.86406062727	3395.4376602320376	2924.6043259776434	730.2488249346113	2463.4261985657686	1419.1360859623665	609.8703379808835
D	4939.698779880858	825.216050086967	2287.2394809810576	1847.5868783207466	4579.483715463384	204.19989541163392	1559.9075281861897	468.9023810718581	4250.752597756618	3836.0581897970555	2813.384615257042	2694.9946143534476	3587.2597852432887	2708.3458433790247	1557.2794133586779	4704.054702999788	1868.574605088457	2726.5094167072084	3474.1876701352994	1985.2234632067011	304.1215037662962	1382.3541255562925	3990.7972969332013	471.6811431105461
E	1041.2428374234596	3826.175880222718	4256.697439327418	1829.4641820947566	897.90972850241	1720.0483938310806	1089.6563388266445	1394.7558551234856	1880.459504277088	2462.807055721844	4760.482372480333	751.3144111892631	1541.4094356061732	490.2492818000158	1318.2853769947578	3687.039544168517	3743.1076205099675	4499.462170326442	1497.3634749265923	1536.648841001503	484.19829094049425	2251.642664443237	2978.043104922192	3193.517308322203
F	244.07379132443003	175.45720432110133	1338.4018345149098	1964.7726881161511	1129.3139334591126	3225.1361123673832	1042.192535223035	227.79297525820783	2671.7194622421694	3885.0659852999293	3097.19257184238	3703.8266754045176	2248.28146085189	3629.227669311876	1129.5176310019178	393.2731459538346	4040.82751024285	3300.575260941889	786.6105573167606	269.7512170174873	4117.450555527486	3710.5529055839024	4869.690960667127	2250.1311777392866
G	2149.5160064586566	1686.3008455883726	3655.9194735360506	4330.174881982452	2223.846912177088	1712.671807492233	4592.194170451999	2402.9384093775075	4087.2705046002343	1172.0992091340097	136.53780840678365	4508.380108004421	2755.7146571187272	333.5308864762659	4591.655076523944	3825.6023420822635	3625.1912798068483	4969.076291731184	1979.9733104380252	3605.85148119276	2222.3511465446754	1191.3342307500284	2078.2578997683913	1073.8768217081413
H	4329.993883635488	1363.5981718145786	1359.6329812422812	2676.806081092679	890.9295616897898	3942.5534530600703	762.5027654704152	1840.3788153254025	4322.870097893508	1136.0851356746316	3716.733168913817	2576.2467099776973	3007.092374964295	2368.8755656467356	2198.585277517058	1861.567013614904	4699.418191980588	1440.8917153710402	4336.904969753656	641.3108902401674	3770.0423387747	4961.795979479015	2777.1963370642716	3826.6308946781483
I	1746.2299653349269	1485.2574278002367	231.10917878396833	958.2283654051263	4584.267738163331	4518.990320374453	930.875917013768	4799.303007721642	1871.555210644757	3470.109972530979	317.501258841232	4954.87158255358	3597.651569229406	3831.2577042923017	2113.234360511545	485.9854927760713	4045.9369436204893	4992.54048254621	2111.12234985701	2987.6655671178646	3275.6082944136565	2787.687933187577	1409.9637521318846	2964.390048108266
J	4681.54238515	3955.4622222426187	1366.3263554293208	790.0593851214983	3653.995045072898	1713.2257252339411	4055.214363752054	2636.51922572495	3498.0455129807037	4645.686792409982	1990.4296034542167	1609.3973527159815	3916.852539669676	481.8197202102622	1614.1952345306179	3354.31980384392	3306.6778168235946	3146.301574259147	3095.3262154985377	2812.5126839714044	250.2633168154807	1299.8620834588319	115.30709189615698	299.10121391874515
